glacier_type,temperature_category,slope_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,6978,0.5606392285177743,0.06382516240361132,0.00025843415505399085,7235,0.518081859462998,0.11906899374376705,0.00021739908065007075,6267,1.3933188354089323,0.34950969317312913,0.0016115221291372447
0,0,1,5110,0.5623808560186261,0.059873308488945454,0.00030272813465845804,5405,0.5080058145794988,0.10754444576043398,0.0002826898253647038,4773,1.397630309045217,0.3293335192857742,0.0019643215605491962
0,0,2,7581,0.5741132281052004,0.05614058855275956,0.000255989173757178,8002,0.523133778410202,0.10404695110447344,0.00024594121898677317,7235,1.4222736804323626,0.3117957397500875,0.0016882584460495428
0,1,0,11864,0.5374496769504001,0.055855865860658174,0.0001247025409113352,12054,0.5005237180275446,0.10878592665828019,9.546675986403665e-05,11572,1.2457007070212942,0.29832354733457817,0.0006894791471759299
0,1,1,16055,0.5344834991540647,0.05334569664934755,9.302438706534189e-05,16224,0.5054667714300158,0.0996631090916097,7.93109863470341e-05,15892,1.2231850134761846,0.2755618012652263,0.0005338240227965377
0,1,2,20533,0.5489878118075074,0.05419260080391242,8.397098247218778e-05,20812,0.530663650531976,0.09738611715120099,8.089462188012879e-05,20212,1.294561614053802,0.28334154938619577,0.0005227642029397042
0,2,0,21371,0.5316184149933049,0.056496047454891375,5.981159700642112e-05,21770,0.5089433863057601,0.11237300936947595,4.6699117979016186e-05,21229,1.2175156901110662,0.2940020158530877,0.000308714461062997
0,2,1,31121,0.5277684174185139,0.05198073244955151,3.3802042315974515e-05,31412,0.5165465995595682,0.09907497254563245,2.8550437084388976e-05,30994,1.2102846412201655,0.27263415087592224,0.0001796777131181031
0,2,2,31513,0.5320929968334824,0.054768986688094635,3.732045786069564e-05,31857,0.5281261975114833,0.09698222111559053,3.6034448925158225e-05,31363,1.2331582397635141,0.28412363141570596,0.00022474753816874285
1,0,0,4223,0.5598419055586499,0.06411515225649471,0.00032881486555147297,4527,0.5259103239508071,0.11799691198012684,0.00027531712962470937,3528,1.4386342839329533,0.34434208145726225,0.0020842666827057313
1,0,1,1128,0.5661853904258629,0.06906580403204353,0.0008514104505445702,1303,0.47185296886034134,0.1038988018431706,0.0006713675835361945,986,1.4521017215574163,0.367236889727437,0.005687147089720986
1,0,2,564,0.5844263816573431,0.06524626174108271,0.0013203979886445203,674,0.4612951186277449,0.10936313376917457,0.0011329912235080643,478,1.4737840680834662,0.3381186320375717,0.009047176586690594
1,1,0,6241,0.5290907064618089,0.060762343594318854,0.0002124216274149588,6420,0.48120542722105236,0.0964219399125583,0.00015447443333678823,5869,1.2422592177217247,0.3454322586036543,0.0011015366184217831
1,1,1,3825,0.5245480712902281,0.06016566829754873,0.0002460505722137095,3972,0.4724688905426762,0.0984595743909137,0.00019027720004523657,3768,1.2033544852546003,0.31999535537026863,0.0013916276340846885
1,1,2,2111,0.5298441394930139,0.0639923017337201,0.0003007459145320937,2187,0.48553213943509105,0.10037479500878566,0.00028797243224818944,2036,1.2184356995005434,0.33055169680356195,0.0016556482872049523
1,2,0,11213,0.5271805175084686,0.059710753808772485,0.00010668908329564812,11496,0.49598641368327756,0.1044895574494736,7.75967364141555e-05,10857,1.23252989811607,0.3266220701952664,0.0005272433113681047
1,2,1,11109,0.5244501203454933,0.05814027784792591,8.146674400335683e-05,11306,0.5057903846790838,0.0997527312855655,6.822719377804788e-05,10937,1.2286717051707343,0.31526915924383286,0.00042572691969410513
1,2,2,7246,0.5229102217915919,0.05754031402388391,9.573591619440478e-05,7392,0.5101632031001726,0.09551166411164158,8.77185357548299e-05,7190,1.2066787110359811,0.30335935588511864,0.0005136341445528052
2,0,0,933,0.6012064013056497,0.05871193715393187,0.0009361520148514136,1205,0.5648617168964025,0.11475233751415713,0.0008001605254725118,680,1.6347172527323075,0.33075353380051997,0.007410111261110597
2,0,1,180,0.6191876508170672,0.05007218446774649,0.0026475118312441616,275,0.509467140254789,0.10517064533048283,0.002109381258883898,133,1.7102447019308589,0.2895170818619731,0.02136784499456132
2,0,2,98,0.629792740911917,0.043207696003760294,0.0043673564881642,117,0.47144611732984876,0.09232781142152066,0.003244625426591477,70,1.7326775734717592,0.2282531248995705,0.034483022698056066
2,1,0,588,0.5846563836286243,0.052441801032908505,0.0009225705348592947,641,0.5354310712319044,0.10865669622897817,0.0007684517640082061,496,1.487434092513988,0.2986434575913952,0.006642512714637941
2,1,1,174,0.5974301766150966,0.05403185159755024,0.002404760925251759,229,0.46529657166833704,0.08751599429301618,0.0018573268972613681,152,1.5434421283373447,0.3019707547439261,0.0171305772773493
2,1,2,70,0.6148147156460843,0.053394204911908036,0.004390629961984168,93,0.4429042001515252,0.06829083637971926,0.003357956889230657,55,1.6384502047732634,0.3038207272852192,0.03212387876968911
2,2,0,313,0.5650016309307219,0.057200831730037725,0.0008370314873207063,324,0.5261976400726337,0.10893607104931635,0.000701716966265754,239,1.4268286541718125,0.3277795784523066,0.0064204897491678195
2,2,1,189,0.571524548160457,0.05528950138234107,0.0011831539677415468,197,0.5213707040881578,0.08811831019668435,0.0010296238653419616,144,1.4725634375424932,0.3124287221016897,0.009018708861973132
2,2,2,103,0.5777644799193576,0.05499606008428176,0.0017347079930000809,107,0.5034310358405946,0.10193635293395957,0.0016685491123550507,84,1.5501631693411948,0.3361788561154299,0.014759485592657298
3,0,0,1001,0.5919489954977404,0.06060400482242035,0.0007225941495345103,1241,0.5801513882519265,0.11360995545641235,0.0006245916557886303,674,1.6241681341555323,0.3210397442039876,0.005595703287266598
3,0,1,76,0.5964407121161758,0.053996219215354,0.003414609978430559,91,0.5067684548304405,0.10967491512793885,0.0028812574106700543,67,1.70183680500182,0.30395579776423104,0.02587403052177124
3,0,2,41,0.6169272616626229,0.05067786007985102,0.005867423582230227,55,0.4142738652230895,0.09900929755142232,0.0038870855090640246,33,1.6992121436479646,0.24996983357644378,0.04583305145006743
3,1,0,372,0.573972931882755,0.05782367634414035,0.0008212041120455566,420,0.5508740553066976,0.1109559018101316,0.0007974538704607326,277,1.4318336409129935,0.34412565605732,0.00585395933676975
3,1,1,77,0.575889421552919,0.06796882090120045,0.003140994937158091,100,0.46092823506748365,0.10358959032609417,0.002551363528870032,62,1.429798882780626,0.35620674444628103,0.022160844557864524
3,1,2,60,0.5833748756838758,0.05959226834659077,0.0032757441874857684,77,0.40489204685807473,0.09036750632553747,0.0027647034383069574,50,1.5554380755038537,0.3404951357891438,0.02616693536532282
3,2,0,375,0.5592149268348435,0.0616074134665046,0.0006370570137270102,404,0.5335199494229746,0.10458279141357715,0.0005408485904322703,292,1.4381466775330487,0.33355714087551713,0.004653115265110809
3,2,1,232,0.5472756663857851,0.06506213639739777,0.0007474066044388711,239,0.5077170092570649,0.09278361750852643,0.0005920806939155401,193,1.3713832625986468,0.36049736224708984,0.004326818174210023
3,2,2,119,0.5286185954307822,0.061753064272617654,0.001148682228377981,124,0.4733695536540007,0.0841992992847398,0.0009006638824710824,108,1.2949381460630813,0.3294238024843901,0.005484279287962844
4,0,0,100,0.6113586300396606,0.0693068881701664,0.0026380448726487198,201,0.3923093652871258,0.12720885756642253,0.0020426695799547687,17,1.5840292429898852,0.35904068072338824,0.028132969479051848
4,0,1,13,0.631172519357436,0.06054218215850435,0.005900422003777784,23,0.545774475098636,0.10799685492115382,0.005366004646507688,2,1.6761193867623452,0.09345617333373697,0.0
4,0,2,8,0.5718060360910882,0.0592093233316746,0.016758437297624974,8,0.4796242351032423,0.1488486609770911,0.006991030483518708,5,1.7515644393720695,0.16808000830676012,0.09968739595737489
4,1,0,140,0.590211356835449,0.07050860909241685,0.0019782110013146005,167,0.3972995733082107,0.12612908901771888,0.0015656212954798354,20,1.6065673112123533,0.41847859031518125,0.013254671676746219
4,1,1,29,0.5866959387298568,0.045462723654056195,0.0024336977009750955,35,0.44983111111875573,0.11037617033336312,0.002652212707098698,2,1.729131918232083,0.5189293039921165,0.0
4,1,2,34,0.5721333749021441,0.06644110792464447,0.0021089948536331614,39,0.4305214124184381,0.11758061437881595,0.0023905187999286206,6,1.656505078390971,0.40510940965056574,0.0
4,2,0,317,0.5836067634895151,0.07433316632546412,0.0014602597808196418,354,0.40654247193818727,0.12423729340499787,0.001108181994349157,55,1.7026387484217622,0.2986468796564643,0.025624260683830006
4,2,1,87,0.5791253863364613,0.06866078632017826,0.002380176250635457,84,0.4229314532352969,0.14050208577751913,0.001834715845252677,17,1.900430235727724,0.20475771805998302,0.024273146420376493
4,2,2,72,0.5561999832279594,0.06832662389762977,0.002180464648363047,69,0.4275666233008281,0.10439070489494291,0.0017529170838803134,15,1.7566095293060051,0.34269185021925896,0.017536747212575046
5,0,0,53,0.6245650647345365,0.047719262502495176,0.003370705170985096,106,0.4847792789133137,0.1416294737465778,0.0026235654373741985,8,1.9527921385933578,0.1701673039673519,0.048967547948349226
5,0,1,8,0.6258450933716363,0.04705081681004363,0.012367785356461235,14,0.5111885651937371,0.10036183552981907,0.008201273938633773,1,1.611177271017234,,0.0
5,0,2,2,0.6076562368027376,0.03534943047356101,0.040599592608646456,3,0.40625538287227886,0.13091383249673305,0.02936435689637189,1,1.732296646631476,,0.44548712763295106
5,1,0,105,0.6052833478677624,0.05341251102892523,0.002306118252972219,148,0.40485639323954065,0.11344433231341028,0.0019115069864578302,3,1.8349495749942502,0.25662718093314246,0.058717639054530014
5,1,1,18,0.6193003235041178,0.06365698360563486,0.004937872279325052,22,0.5296099854221206,0.09254613917961083,0.003967572472295682,2,2.0260430008074986,0.1593719822135702,0.15114083006287193
5,2,0,115,0.5954135654532906,0.05433176888881346,0.0014287807228274294,132,0.4549270104472434,0.10646095150826558,0.0010081640611324912,20,1.90592118220761,0.23753414842402398,0.029468535304666338
5,2,1,34,0.5824597742172279,0.06362364570993287,0.003893472491254667,38,0.45306910819426144,0.11313719773353223,0.0017991951191689403,5,1.893805748727798,0.24148277382263775,0.04837813186973774
6,0,0,41,0.6396914743314974,0.04536847447635966,0.004094617826932196,121,0.5124985445124899,0.16746047896450583,0.0028906542047877335,5,1.9263758587200104,0.19633439537045075,0.0
6,1,0,74,0.6108130668126092,0.05897664744722038,0.003050800843961642,132,0.41227237272714734,0.1363844643092443,0.0021597544830810962,2,1.6339606386796584,0.06999495880419426,0.0
6,2,0,170,0.5953566714941222,0.06934649883512904,0.002443370432216274,182,0.43829728617845726,0.13980929749969756,0.0017201723592666323,20,1.9043828072124604,0.2721064025376793,0.058518762306080274
6,2,1,24,0.6148753540105917,0.07004790216188458,0.0044183451376022765,27,0.41573638122581547,0.10820252953035207,0.003804187495598329,4,1.6520982194124239,0.5037870367124608,0.11114134814059257
6,2,2,19,0.6158786906578426,0.06126278277860537,0.010950259699654035,18,0.4012047489410296,0.07476706265721757,0.006709163629185176,2,2.1316423009325076,0.07761197852903222,0.4006645659344652
7,0,0,29,0.635474046245564,0.04690297538122471,0.004656456517514365,88,0.5319469789004799,0.1518226243369326,0.003048065989077214,4,1.971247320889053,0.16973004803759664,0.08077945945953702
7,1,0,28,0.6151079112164889,0.06768183388209252,0.0034179780145116782,63,0.4465731743049881,0.1537816064257313,0.0034497150725268854,1,1.913551553883076,,0.0
7,1,2,1,0.4879612417534244,,0.0,1,0.5864597337692683,,0.0,1,1.828260854879032,,0.0
7,2,0,36,0.606278249052066,0.06334338580979315,0.002536303221315825,67,0.5078454351853847,0.10274997211186983,0.0017609421096640592,7,1.8087853816758943,0.3370233072401656,0.061818792194514825
