glacier_type,temperature_category,area_category,aspect_category,AAR_n,AAR_mean,AAR_std,AAR_1σ,THAR_n,THAR_mean,THAR_std,THAR_1σ,AABR_n,AABR_mean,AABR_std,AABR_1σ
0,0,0,0,1904,0.557872552013133,0.06428515975826381,0.0003443630789078513,1964,0.5349051930208267,0.12159689472643183,0.0003368008061920356,1859,1.327780434345208,0.33597153116175904,0.0021428983614764432
0,0,0,1,4398,0.5548140225899709,0.058168357303998094,0.0001972316575638703,4488,0.5435937507094742,0.10806958530134397,0.0001986414497721586,4343,1.312040338024686,0.3044149505209806,0.001214733172068756
0,0,0,2,13,0.5942185387394926,0.06425288764681757,0.010488329867818138,14,0.4133603592933571,0.09141319554409262,0.007896233532587536,11,1.4881943225076635,0.30857517757886677,0.06659291318699748
0,0,0,3,17,0.5501586212889026,0.09484279804986542,0.008224350922943683,22,0.43224597456117214,0.1398844283893556,0.006150357810210299,15,1.4485355325453644,0.34258346957508057,0.06386225486823506
0,0,1,0,2289,0.5644370952514156,0.06066676736435314,0.00047141795542128995,2372,0.5188866786238784,0.11523542124261564,0.00043851847634964445,2193,1.3903359832735935,0.32493843710434306,0.0028912643300495304
0,0,1,1,4886,0.5602569104569665,0.056847192486950776,0.0002908783228683506,4979,0.5120069899931938,0.10642750995860764,0.00027866921832557474,4723,1.3796043093572432,0.30596509769765934,0.0018240953676872593
0,0,1,2,24,0.5647618416614183,0.057525667569231734,0.009524784881258444,25,0.39425649422707293,0.08799301588177248,0.007364814727836969,21,1.5336983323305202,0.38288733817830917,0.06134317066270365
0,0,1,3,18,0.5819125340066228,0.06580194373823074,0.006394370798721703,20,0.4340065200756126,0.11456818464389949,0.00428730092695365,14,1.6639529200764833,0.3605996496057752,0.04451685371005355
0,0,2,0,1692,0.5857486857555046,0.058771006397345005,0.0006741081449496679,1882,0.508249935637364,0.11017158652904949,0.000599035147634609,1410,1.5462451358163893,0.32798448247927015,0.004945305439937827
0,0,2,1,4408,0.5814923520103024,0.059298983134559446,0.0004310381092427121,4855,0.49647132001791705,0.10341441095107037,0.00036160763033625114,3676,1.543581812618698,0.3263251362971277,0.003081108688260883
0,0,2,2,9,0.5379367554981531,0.09319406220512731,0.014350458631676681,10,0.4098766349066108,0.14123515380554919,0.010266100698473177,5,1.2112565746700006,0.43735813276129115,0.11362207314553381
0,0,2,3,11,0.5757422794617306,0.10312820987906073,0.010479099908812482,11,0.4635650521115957,0.12430027832036342,0.0074886444649709585,5,1.497172129994224,0.382817285706835,0.0987883205530648
0,1,0,0,4478,0.5408391920478655,0.060354481554712555,0.00015762938973840543,4526,0.5375247743248269,0.11224504906043634,0.000144456967672818,4445,1.2434439057888267,0.304229361088175,0.0008333785597308341
0,1,0,1,14258,0.5383371619865243,0.05527497114569642,4.88623668448336e-05,14322,0.5486453331746302,0.10061140154640989,4.737790463635885e-05,14198,1.221909452460315,0.27451137757017613,0.0002667940002608432
0,1,0,2,105,0.5398988275351182,0.07721083904037604,0.000937352184728792,109,0.4837946441296247,0.12219392468855868,0.0008693509370089243,98,1.224197848667677,0.3545156725848729,0.005914960972520941
0,1,0,3,99,0.551785049844317,0.07581923339416917,0.0021012826448180886,115,0.48360104127702197,0.1381567833541853,0.0017271866493697064,82,1.3710225774986942,0.3889971023024836,0.012980901905091217
0,1,1,0,4708,0.5454049285093027,0.05565461937662486,0.0001833596792501353,4802,0.5151352441890311,0.10423752908043366,0.00017460724361066638,4641,1.2853492267426834,0.29127184986760546,0.00110136185551704
0,1,1,1,14699,0.5358278784297966,0.050318320624942785,9.430812349226366e-05,14794,0.5022934268398555,0.09280901919763485,8.552950784584421e-05,14621,1.2323964195103352,0.26189136013930997,0.0005394023551575567
0,1,1,2,46,0.5594515084358113,0.05973322267599949,0.002623690937470687,47,0.49166014452214807,0.1275644296925286,0.0019528982358878193,43,1.3803377908065668,0.32384763420726315,0.019969869412339705
0,1,1,3,33,0.5426571194314453,0.06556026716909934,0.003518329896785674,33,0.43949634882485467,0.13007664017304515,0.003546729509478586,22,1.3704739032460251,0.3112719733980443,0.03653945317631611
0,1,2,0,2130,0.5582551002052029,0.05665918354092175,0.000397380802853707,2262,0.4890664543887961,0.10237421018772745,0.00035881210784594075,1975,1.3827758232747414,0.30872156707272624,0.002459488205971707
0,1,2,1,7858,0.5501538311614532,0.05421077717321957,0.00021763039193393617,8042,0.47428867684830256,0.08836969811643756,0.00017058399720626836,7522,1.3380535388276509,0.3034309021479677,0.0013554828154779246
0,1,2,2,23,0.5637191099610398,0.06552092129385542,0.0047949985792922496,24,0.4270184319652844,0.14032816363358042,0.0034461128562072,19,1.3749641305883622,0.3595590290552997,0.03062836960279874
0,1,2,3,15,0.5530987105386499,0.06268643269681673,0.005786561298296512,14,0.4520184572067746,0.13933212501958303,0.004706226775540427,10,1.598630092229957,0.29114195370936186,0.036365928247448755
0,2,0,0,7498,0.5289243875697097,0.059490711196436404,7.212629869594154e-05,7642,0.5296512331078957,0.1075902196116711,6.679851466250159e-05,7491,1.1879759809595147,0.29174820428544423,0.0003827971204902188
0,2,0,1,20511,0.5253359090113805,0.05817387922298298,3.936949137067193e-05,20892,0.5284524225777539,0.10463589493851252,3.565042948941586e-05,20584,1.1654171914258402,0.2818329957196444,0.00019234877064665536
0,2,0,2,5562,0.5304089456727438,0.062322312888597985,6.204442722342172e-05,5658,0.5547253548032439,0.10725423226797284,5.9192822761481285e-05,5577,1.1992308351894203,0.3078312601744685,0.00035409948973989493
0,2,0,3,2513,0.5310809334124107,0.06522567908615282,0.0001099587338546501,2570,0.5468317864133604,0.11190178648767789,0.00010212742493529194,2517,1.208335074014634,0.3288549219162055,0.0006295846105704903
0,2,1,0,7613,0.531066696598477,0.048353553957705867,7.7145706973119e-05,7646,0.5177566965507487,0.09778351841474263,7.548686126590957e-05,7600,1.224988767367041,0.25186027533567396,0.0004539132857632405
0,2,1,1,20366,0.5243976638373204,0.047197298345307476,4.400945496354653e-05,20442,0.5039965808347766,0.09426684319518983,3.855897515975087e-05,20384,1.190900689359461,0.24120105341966708,0.00023299081172347829
0,2,1,2,2721,0.5399061662672584,0.051077050612748774,0.00012103025151871974,2741,0.5375054940063544,0.10289188727908945,0.00011196332683429841,2690,1.297218509727756,0.27347160907908175,0.0007073914471018145
0,2,1,3,1265,0.5412606410217942,0.05392819801883235,0.00020456701389643143,1267,0.5333817840576861,0.10564041729672294,0.00017630964997509554,1237,1.314754753050201,0.2887550950730369,0.0013081316322120899
0,2,2,0,3837,0.5437679396351949,0.04923420451382223,0.00015778861776322015,3896,0.5082946155586594,0.09866951879127073,0.00013556923840000906,3741,1.3399467542091301,0.28145155087940343,0.0008888115968781993
0,2,2,1,10103,0.5379882226136207,0.04948509878992205,9.505090084198718e-05,10201,0.4939781537940042,0.09440238845423185,7.343001404500452e-05,9905,1.3089690713051494,0.2827133328230308,0.0005301023340668896
0,2,2,2,1342,0.5607757927560706,0.055642952020655265,0.00037686219964510134,1381,0.5165700962170479,0.10321854034005187,0.0002831278068537889,1247,1.4705654244314714,0.3126342318946117,0.002483609025807373
0,2,2,3,674,0.5593429699474332,0.05532275012117802,0.000504147961000995,703,0.5044462819798865,0.10205103835444332,0.0003704268577533889,613,1.4734112407860578,0.30781385386508975,0.0034320016431112995
1,0,0,0,115,0.55368716490835,0.06082916617996872,0.0023338641293997866,122,0.5255875305223636,0.13174927252511107,0.0024046412114318875,114,1.3328932692124,0.33382445203324107,0.012349114335757236
1,0,0,1,132,0.5563146022158262,0.073550324791198,0.001168175244229736,139,0.49764928685097365,0.12818003783677187,0.0011202852874529275,129,1.3246428897591813,0.377791669396576,0.007497389923780148
1,0,1,0,481,0.5418991347670467,0.06444177429209469,0.0009667804584599265,494,0.5101261468955058,0.1187489589871988,0.0009221288532078176,465,1.2858307306305743,0.33200638142260247,0.005641273499244382
1,0,1,1,702,0.5438907711358931,0.06535770887876477,0.0006731539032485653,723,0.5037243017784708,0.12112421041329997,0.0006252560325001244,673,1.3138933489437932,0.33428687967349596,0.00412205756767986
1,0,2,0,1449,0.5763073157093064,0.06260709970170245,0.000670247404378719,1653,0.5142063978634676,0.11539367357296937,0.0005553254691866043,1118,1.5167285992792656,0.33187006214138093,0.004770430891738064
1,0,2,1,3036,0.5658248714588974,0.06514370803066738,0.00045717909676365524,3373,0.5060955448825641,0.11640663860083453,0.00036755333488540165,2493,1.4885880395785045,0.34048535426690013,0.0030621793986244
1,1,0,0,330,0.5215019216025729,0.06420115176969923,0.0008014911304150014,336,0.5254132244850782,0.10448349507358919,0.0006594266312336573,335,1.166121061985739,0.32651407456323805,0.0034901486399444336
1,1,0,1,713,0.5130199891548735,0.058136674997442433,0.0004202583208407866,729,0.5149058204206893,0.10600768561558846,0.00035712315134450457,721,1.1049162561609238,0.2823118012729255,0.0020095706571759547
1,1,0,2,21,0.5230163069784093,0.06547525678239867,0.0,22,0.43918539462274014,0.1136128356087774,0.0,20,1.0956411014373781,0.24359465374864817,0.0
1,1,0,3,10,0.5263924864078485,0.06361622653700844,0.0015696332639360323,12,0.5111518082267884,0.12136965108767739,0.005121728055157305,10,1.1523256161783766,0.2947509122148061,0.006356286596069749
1,1,1,0,1017,0.5201669125066102,0.057633747742290804,0.00038366794844478205,1039,0.504104267325013,0.10586952514957088,0.00035400594684379067,1018,1.1605695514318963,0.290132579831914,0.0017314494325298315
1,1,1,1,2085,0.5082083497024666,0.05317044431083328,0.0002438120786014396,2125,0.4901300341394644,0.09590524296145643,0.0002013828195744771,2120,1.0985676738781722,0.26391568128477105,0.0010595640904227468
1,1,1,2,23,0.5289060557456456,0.05235835222998854,0.0,23,0.43492662202662674,0.08333539100845518,0.0,23,1.1663748516710348,0.2684227474570821,0.0
1,1,1,3,9,0.5269507969726104,0.08722221934273527,0.010916197096260773,9,0.4075066568132984,0.09499035079741609,0.011528530464737547,9,1.1940058505462576,0.41299652037934487,0.06340098323008346
1,1,2,0,2412,0.544281440970655,0.06264587442391237,0.0003436828810601843,2536,0.4798695709208111,0.09773897427462447,0.00028295270056531485,2199,1.3343050184917058,0.3618925391620129,0.0019875326506265034
1,1,2,1,5539,0.5316239232668407,0.06161998966795064,0.0002403476501182233,5729,0.46369116553302203,0.09183146528541926,0.0001729376943426606,5200,1.265367483177939,0.3416498499305714,0.0013516161151161752
1,1,2,2,13,0.5529897453177972,0.05283147285021257,0.004936796968344543,13,0.4239314529364722,0.08974954389586735,0.004081684349515746,13,1.3080405328223779,0.28321561508503,0.028753042813417205
1,1,2,3,5,0.5268255173948672,0.0548958851561189,0.009861941901032616,6,0.3724035746838104,0.08574553332299435,0.007839285351234241,5,1.202951489096391,0.19976470813135044,0.05110870424493098
1,2,0,0,1310,0.520480679076961,0.0605869507572544,0.00021998493457425409,1351,0.5140989943443807,0.10556972203145136,0.0002022005807953017,1320,1.138151616748585,0.28865142625919044,0.0009687577856268819
1,2,0,1,2087,0.5163702866405883,0.06250713491048046,0.0001804592109596895,2136,0.510411752791418,0.1052724093842238,0.00015381667112261793,2117,1.1223041124738105,0.30251316980426385,0.000861372195618781
1,2,0,2,1397,0.5297996090494801,0.06526177046476432,0.00017961521251149635,1423,0.5346945954074545,0.11563159770250492,0.00015139380833311333,1392,1.1980128279942186,0.3196804600970861,0.0009287244123110475
1,2,0,3,610,0.5319937090581841,0.06700901717758867,0.00029616326765629795,632,0.5294519976243831,0.11636212073718755,0.0003129701430063047,609,1.2198922504274508,0.3291687830839089,0.0019247686156822982
1,2,1,0,2261,0.5137202294783226,0.05136221108220347,0.000173702392432196,2280,0.5058096990765104,0.09649890845388008,0.00015463657097245138,2270,1.1392674439512367,0.251470195636087,0.0007604018312269107
1,2,1,1,4181,0.5069543027990991,0.050868927774906196,0.00012067599065533352,4238,0.4903437012770282,0.09717019571868864,9.392453948122509e-05,4241,1.1060749012656594,0.2505945560961715,0.0004978402226727953
1,2,1,2,1492,0.5246460008185025,0.05365152459192044,0.00019222064388583218,1496,0.545428631363125,0.10613521345688823,0.000187426457128786,1504,1.2080184355865307,0.278810930724155,0.0010833186685404962
1,2,1,3,782,0.522415711134018,0.05608536141309966,0.0002458277876899811,782,0.5385897822227084,0.11096894045589609,0.00024563126602449763,783,1.2056376408733873,0.28303357624177483,0.001126487015864499
1,2,2,0,3768,0.5350208053273471,0.05941808883680012,0.00018573423025310533,3872,0.503311133916374,0.095247548594985,0.0001417700574011938,3538,1.3050409189106804,0.3397961895752719,0.0009989052461676516
1,2,2,1,8611,0.5284997093034118,0.05787514834644359,0.00011569783060074087,8788,0.48585105443706855,0.09355661217683339,8.42088919276581e-05,8297,1.2803185353260316,0.3302889836685774,0.0005926581450804481
1,2,2,2,2116,0.5419614064703171,0.05749980573218185,0.0002384849691286479,2191,0.5107284189374459,0.09788201557236571,0.00019434997222795398,2024,1.3492922852286104,0.3096405186743732,0.001371975124749468
1,2,2,3,953,0.5416582131240654,0.06521625368129078,0.0004008178853721573,1005,0.5027204738139562,0.10098807806565985,0.000336778253395089,889,1.347439033050604,0.33280206875477575,0.002471975860307944
2,0,2,0,513,0.605458202408704,0.05740867966052144,0.0013878156312304188,653,0.5539216938620072,0.11170814832764075,0.0011215099424588205,389,1.6368698559686767,0.31382360992153857,0.010417107138369377
2,0,2,1,698,0.6067320635228453,0.05697844995915759,0.0011694392538789532,944,0.5447141547308619,0.11804921586718911,0.00099030644752055,494,1.6672375169756708,0.3236273768259457,0.00968121823293076
2,1,2,0,332,0.5939733458774838,0.050150485107285064,0.0013552812729608031,400,0.5245520915580224,0.09997137023168017,0.0012244236534527592,287,1.549059331700478,0.29069925609067526,0.01001966911645837
2,1,2,1,500,0.5871373671371183,0.055621546334797684,0.0012022644884328252,563,0.4993489974468612,0.11069105309538521,0.0009418668531250831,416,1.485349150141122,0.30801499669342686,0.008494552862912152
2,2,2,0,122,0.5720887214015051,0.053950750372119986,0.002081123926739045,133,0.519747003247661,0.10906759292286003,0.0017173234728683005,114,1.4322647252968832,0.2988761476109638,0.013978483096170448
2,2,2,1,206,0.5618426709332384,0.05971996203044775,0.0012225888498908419,214,0.5084816262948477,0.10332331721632604,0.0010836232254820297,186,1.365656505157688,0.32374583312906496,0.008348184855655123
2,2,2,2,163,0.5769955791592237,0.056064180176677705,0.0006650863784645909,164,0.5267768657452562,0.09750857507737762,0.00047957057967007384,89,1.5683141273138719,0.30439480170579764,0.004939983457620424
2,2,2,3,114,0.5683219113083505,0.05182220455552684,0.0009167289842171282,117,0.5361740126716724,0.0946005546549536,0.0009585740390883282,78,1.6205723538940167,0.3108788923804947,0.008452021324617282
3,0,2,0,553,0.5912460939539983,0.059870086439534655,0.0009869982636668277,689,0.57145322567405,0.11729855134749279,0.0008221644765430252,399,1.6273632450025604,0.3243421234115251,0.007615653124114238
3,0,2,1,565,0.5950537458153523,0.060097955432672205,0.0010478344776105161,698,0.5660997024470779,0.11956496822270538,0.0008996980514621995,375,1.6412492115741653,0.3105487943598652,0.008551536426112276
3,1,2,0,224,0.5786290396647757,0.06235704970831506,0.0012919049877939683,283,0.5345231988224115,0.12689255147889433,0.0012088913052539774,169,1.4469099960522933,0.3461447149542965,0.00918560201382601
3,1,2,1,285,0.5728105395652014,0.057357414583051235,0.0011461532427844022,314,0.5011673537480594,0.11161285143071695,0.0010346563617846015,220,1.447770744125696,0.3488149646819387,0.008883012202984276
3,2,2,0,205,0.5445159720720093,0.060619301824291455,0.0010143244926170275,220,0.5249273077212919,0.10192450374955231,0.0006720118250320382,187,1.3412206142179863,0.3352773037724026,0.005132462888187953
3,2,2,1,208,0.5450918926921018,0.060196734466768126,0.0008747876438723555,212,0.510203606947062,0.09853214125888354,0.000715601528448779,183,1.306830746908253,0.3135137683573125,0.005263022393380586
3,2,2,2,166,0.5584871558136125,0.06743627467363128,0.0007382626909265627,184,0.5078169833084212,0.10114970180584111,0.0009038539462755264,115,1.4925601894669085,0.3610311676012016,0.0054844618795274165
3,2,2,3,147,0.556907545585393,0.06698288606322514,0.0008179991886948628,151,0.5198592856437451,0.09863523530243379,0.0005814783263742675,108,1.5080223700401254,0.3428692925888424,0.007451728687689528
4,0,0,0,2,0.6155319629431836,0.0003549021872681083,0.0,3,0.6157949688346439,0.14320188446273524,0.0,2,1.7000785138074845,0.11905450034248778,0.0
4,0,0,1,3,0.5282967293132717,0.03611991932094105,0.0,5,0.5658345084924554,0.18382237493803824,0.010810895749269012,3,1.3673672327301738,0.3018184341448491,0.0
4,0,0,2,3,0.5641264646965215,0.02348305157941566,0.0,4,0.4205921295415467,0.08803026570008667,0.0,2,1.9025139582247947,0.0009367272396014398,0.0
4,0,0,3,7,0.5781568907289288,0.08454648250782953,0.0,8,0.36763460868296377,0.14084683569238451,0.0,5,1.5474533214871589,0.2790112273654186,0.0
4,0,1,0,1,0.5736523880426746,,0.0,1,0.7442330904025426,,0.0,1,1.4920255322121585,,0.0
4,0,1,2,5,0.5732732302127106,0.07110257792375617,0.02483127815128923,5,0.28861740809295405,0.11465637988250661,0.008053660011250796,2,1.8038603926971981,0.0037483355601978584,0.2492184898934372
4,0,1,3,3,0.618747419027699,0.08713251408935098,0.0,4,0.2906679552696482,0.01611350170233805,0.0,1,1.9909988973003387,,0.0
4,0,2,0,26,0.6329477160137681,0.07090383349023355,0.005422452235349882,62,0.37657834008101293,0.11176320950144084,0.0036424975192653423,3,1.6968368495151278,0.18799346759974336,0.14156409083431626
4,0,2,1,50,0.6265811403767426,0.06409347398283863,0.0036054540605207942,100,0.45408967837365355,0.13353027323295963,0.002843386090073499,3,1.3160125938907492,0.5537448930727739,0.07331027023719731
4,0,2,3,14,0.5784415420873571,0.057003358847923534,0.01134522172188197,27,0.36906124242031524,0.09374990517938604,0.007731505694992911,2,1.9323556531988444,0.07410229237968177,0.0
4,1,0,1,1,0.4658430333371571,,0.0,1,0.5912119551395825,,0.0,1,0.9224984083846448,,0.0
4,1,0,2,5,0.6058178369946013,0.10200171974975827,0.0,6,0.4565762383896858,0.07000054196412307,0.008771929824561422,2,1.6343436759200314,0.5722698450955725,0.0
4,1,0,3,13,0.5823201296205973,0.07553261070680035,0.0035080470592845016,18,0.42351761611308564,0.16128371500422806,0.0017921146953405048,4,1.4082811001179798,0.32328533081444116,0.0
4,1,1,0,6,0.5485934542454188,0.046395800101331965,0.0039682555472179875,6,0.42546388074285785,0.06160996264997644,0.003708445848964459,1,1.3621934884228422,,0.0
4,1,1,1,15,0.5626842057555635,0.05942547087701305,0.0019380031669621323,14,0.4406837525950212,0.13759320252503288,0.0031371910602358208,3,1.607731335915325,0.4746174764334668,0.0
4,1,1,3,11,0.5730941170290477,0.05998398158702127,0.004592420552609403,14,0.38752681320275667,0.12111358372347344,0.0026455026455026354,3,1.6139375042245756,0.28905959692329314,0.0
4,1,2,0,18,0.5991988693219263,0.06723024231229989,0.005014063207163922,24,0.438051209872731,0.10502395201438823,0.004062087432917178,2,1.3893002981497882,0.6377906027011453,0.049442540433651205
4,1,2,1,83,0.5910646571981487,0.06691286161704997,0.001969880422818296,108,0.43549386478368224,0.12639989810409646,0.0018754097253114888,11,1.8236099920592699,0.37994712198384356,0.022359990331981387
4,1,2,3,27,0.5796125759810601,0.06605460293039654,0.006895555394078926,23,0.3054519145302556,0.049205719784442215,0.005357963646302245,1,1.8388198525663493,,0.0
4,2,0,1,2,0.5080960435110734,0.12634638795814357,0.0,3,0.3689670949295822,0.08466120164786908,0.0,1,1.488983460716786,,0.0
4,2,0,2,13,0.5461545789612201,0.07047401006270614,0.003187385930402823,20,0.4457154854514941,0.14888030582076225,0.0013673084929878786,7,1.5599076786894668,0.324284818294123,0.0
4,2,0,3,34,0.5758753634481151,0.08783360989485407,0.0025040056410658876,41,0.44375094946849303,0.14096033768522703,0.004022748110213359,15,1.6515475371519313,0.31731385646183197,0.05693102085380679
4,2,1,1,17,0.5357706964906165,0.05455771527307786,0.0009474999132551369,19,0.4299404428417648,0.09565433540537864,0.0011816351205777083,7,1.939942732012262,0.18116070292316236,0.0
4,2,1,2,22,0.5949963374574433,0.07907805864544294,0.004553752824324143,18,0.43038894142341616,0.14543207441065362,0.0027528887566955823,3,1.5726037216345958,0.09729688193665981,0.0
4,2,1,3,38,0.5983682217964902,0.07131267599185279,0.0042220626613091086,54,0.4132770207215738,0.13438729852790515,0.0037811138779426357,8,1.9469759283597323,0.12928138379959445,0.0
4,2,2,1,64,0.5861745568776935,0.06904387178978308,0.0017178891637204682,65,0.4553066789169803,0.11313565919421356,0.0013319558520885014,12,1.9136046696520037,0.23625969710194172,0.0
4,2,2,2,107,0.5687497466716457,0.07080313855819832,0.0028622759346799784,104,0.3739495003155567,0.1119322506068035,0.002219544623545219,20,1.7140407554282902,0.3238587971223357,0.04911439127007894
4,2,2,3,146,0.5799842751368085,0.07342016375331747,0.0024084631630358917,144,0.39303453583836956,0.1165818236932513,0.0016109920833915347,14,1.7144820700770687,0.3001443408460349,0.0520766573419714
5,0,1,0,1,0.5784580778468004,,0.0,1,0.5749854294091489,,0.0,1,1.611177271017234,,0.0
5,0,1,1,1,0.5826604148038003,,0.07296478542009632,2,0.35166457563719566,0.1299931693952387,0.040771451532127356,1,1.732296646631476,,0.44548712763295106
5,0,2,1,44,0.6144178255484549,0.046963923850166525,0.003884523540490105,80,0.4889404298100569,0.14827807737667864,0.0031437684042736253,8,1.9527921385933578,0.1701673039673519,0.048967547948349226
5,1,2,0,57,0.6032713788746894,0.0600432776594401,0.002798981269134189,77,0.41261361461715407,0.11824553501444002,0.002620948043768096,3,2.0356064548174237,0.11390387752460908,0.11662096832312902
5,1,2,1,75,0.6070697028086485,0.054538581560195934,0.002845752254592097,102,0.4271565755480683,0.11653278520502248,0.0022141637838014594,2,1.7250576810727378,0.2434289421770592,0.0
5,2,2,0,63,0.5997201361260075,0.05777827771577451,0.0023078410715248504,69,0.4736809984627399,0.1190300850022395,0.001461208605738226,13,1.9305259482225452,0.1844209943126603,0.02031262961689986
5,2,2,1,83,0.5833255441791465,0.057658575586730126,0.0018179251765092171,94,0.44972383554264933,0.0989518451400272,0.001236566410710037,11,1.8492627425813675,0.2820899902259395,0.05270681628813467
5,2,2,3,3,0.5511411380083795,0.049226468183013905,0.0034629507244109217,4,0.3974917565740068,0.10978612339381542,0.00962655386026309,1,2.14872489250306,,0.0
6,0,2,1,26,0.6362932629937117,0.050272337536852216,0.0053286063781195995,69,0.5617909954594872,0.15404895717986983,0.003204683023785403,5,1.9263758587200104,0.19633439537045075,0.0
6,1,2,1,39,0.6113859464407718,0.059125404564142045,0.0029966025860455017,79,0.45081708046653446,0.1500989683355821,0.0029757197899084767,2,1.6339606386796584,0.06999495880419426,0.0
6,2,2,1,5,0.655593741407354,0.03242396904715033,0.003149868169345993,7,0.5622541391369887,0.1590726559155057,0.011721935491706234,1,2.0711574945160343,,0.0
6,2,2,2,86,0.6054855020964273,0.06407278356182824,0.004032573246004426,92,0.449893319327579,0.12367480812413333,0.0025489257075135808,8,1.786319672747362,0.34626021596009215,0.14916636511648598
6,2,2,3,120,0.5921383506236814,0.07254235275776685,0.002715926278443639,126,0.41233687349143433,0.13309359338307017,0.0019654859576484092,17,1.9175069851334698,0.31130586034892904,0.052134584146329946
7,0,2,0,12,0.6300108755310267,0.051201956141565155,0.006352334994935343,41,0.5324536548862021,0.1554976147256588,0.00492934972156128,2,2.070250609793419,0.11906896160591925,0.0
7,0,2,1,17,0.639330402044061,0.04482457569329779,0.006556737968346655,48,0.5268237824468387,0.15211954152038457,0.004145545766706895,2,1.8722440319846876,0.18177140904745656,0.16155891891907403
7,1,2,1,13,0.6284531802151694,0.06849718106937865,0.0057631227971405895,37,0.43353279151721447,0.14793296653361757,0.0049996685483913,2,1.870906204381054,0.06030963163790028,0.0
7,2,2,1,12,0.6098165150367674,0.04780473470522662,0.00305222110760151,21,0.5177964173939564,0.12174372095398783,0.003146797983130132,1,2.0686052695225503,,0.2349628958668908
7,2,2,2,9,0.6080417820068275,0.06537474729935401,0.00568948425673617,17,0.4696130036840919,0.07255972294491475,0.002742483263977586,3,1.9571901776243141,0.1118822438640941,0.12112850289253714
7,2,2,3,14,0.6078911790994166,0.0827316520976228,0.0036071144143628607,22,0.46403393071644755,0.08356408763763576,0.002088151228641506,3,1.5737739564452558,0.42261303238632614,0.0
